symbol,exchange,reason
LICI.NS,NSE,not_found_on_yahoo
LICI.BO,BSE,not_found_on_yahoo
ITC.BO,BSE,not_found_on_yahoo
ITC.NS,NSE,not_found_on_yahoo
ONGC.NS,NSE,not_found_on_yahoo
ONGC.BO,BSE,not_found_on_yahoo
JSWSTEEL.BO,BSE,not_found_on_yahoo
JSWSTEEL.NS,NSE,not_found_on_yahoo
TATASTEEL.BO,BSE,not_found_on_yahoo
TATASTEEL.NS,NSE,not_found_on_yahoo
IOC.BO,BSE,not_found_on_yahoo
IOC.NS,NSE,not_found_on_yahoo
SBILIFE.NS,NSE,not_found_on_yahoo
SBILIFE.BO,BSE,not_found_on_yahoo
VBL.BO,BSE,not_found_on_yahoo
VBL.NS,NSE,not_found_on_yahoo
ABB.NS,NSE,not_found_on_yahoo
ABB.BO,BSE,not_found_on_yahoo
BANKBARODA.NS,NSE,not_found_on_yahoo
BANKBARODA.BO,BSE,not_found_on_yahoo
LTM.NS,NSE,not_found_on_yahoo
IRFC.BO,BSE,not_found_on_yahoo
IRFC.NS,NSE,not_found_on_yahoo
SOLARINDS.NS,NSE,not_found_on_yahoo
SOLARINDS.BO,BSE,not_found_on_yahoo
BPCL.BO,BSE,not_found_on_yahoo
BPCL.NS,NSE,not_found_on_yahoo
HDFCLIFE.BO,BSE,not_found_on_yahoo
HDFCLIFE.NS,NSE,not_found_on_yahoo
SIEMENS.BO,BSE,not_found_on_yahoo
SIEMENS.NS,NSE,not_found_on_yahoo
INDIANB.NS,NSE,not_found_on_yahoo
INDIANB.BO,BSE,not_found_on_yahoo
BHEL.BO,BSE,not_found_on_yahoo
BHEL.NS,NSE,not_found_on_yahoo
ENRIN.NS,NSE,not_found_on_yahoo
RECLTD.BO,BSE,not_found_on_yahoo
RECLTD.NS,NSE,not_found_on_yahoo
MAXHEALTH.BO,BSE,not_found_on_yahoo
MAXHEALTH.NS,NSE,not_found_on_yahoo
OIL.BO,BSE,not_found_on_yahoo
OIL.NS,NSE,not_found_on_yahoo
POLICYBZR.BO,BSE,not_found_on_yahoo
POLICYBZR.NS,NSE,not_found_on_yahoo
SRF.BO,BSE,not_found_on_yahoo
SRF.NS,NSE,not_found_on_yahoo
SAIL.NS,NSE,not_found_on_yahoo
SAIL.BO,BSE,not_found_on_yahoo
GICRE.NS,NSE,not_found_on_yahoo
GICRE.BO,BSE,not_found_on_yahoo
BANKINDIA.BO,BSE,not_found_on_yahoo
BANKINDIA.NS,NSE,not_found_on_yahoo
IOB.BO,BSE,not_found_on_yahoo
IOB.NS,NSE,not_found_on_yahoo
SBICARD.BO,BSE,not_found_on_yahoo
SBICARD.NS,NSE,not_found_on_yahoo
MRF.NS,NSE,not_found_on_yahoo
MRF.BO,BSE,not_found_on_yahoo
UPL.BO,BSE,not_found_on_yahoo
UPL.NS,NSE,not_found_on_yahoo
MAHABANK.NS,NSE,not_found_on_yahoo
MAHABANK.BO,BSE,not_found_on_yahoo
BDL.BO,BSE,not_found_on_yahoo
BDL.NS,NSE,not_found_on_yahoo
IRCTC.BO,BSE,not_found_on_yahoo
IRCTC.NS,NSE,not_found_on_yahoo
NLCINDIA.NS,NSE,not_found_on_yahoo
NLCINDIA.BO,BSE,not_found_on_yahoo
IREDA.NS,NSE,not_found_on_yahoo
IREDA.BO,BSE,not_found_on_yahoo
LTTS.NS,NSE,not_found_on_yahoo
LTTS.BO,BSE,not_found_on_yahoo
3MINDIA.NS,NSE,not_found_on_yahoo
3MINDIA.BO,BSE,not_found_on_yahoo
CENTRALBK.BO,BSE,not_found_on_yahoo
CENTRALBK.NS,NSE,not_found_on_yahoo
PGHH.BO,BSE,not_found_on_yahoo
PGHH.NS,NSE,not_found_on_yahoo
JBCHEPHARM.NS,NSE,not_found_on_yahoo
JBCHEPHARM.BO,BSE,not_found_on_yahoo
MEDANTA.NS,NSE,not_found_on_yahoo
MEDANTA.BO,BSE,not_found_on_yahoo
CDSL.NS,NSE,not_found_on_yahoo
ITI.NS,NSE,not_found_on_yahoo
ITI.BO,BSE,not_found_on_yahoo
AEGISLOG.NS,NSE,not_found_on_yahoo
AEGISLOG.BO,BSE,not_found_on_yahoo
